Date,Machine ID,Shift,Planned Time (min),Downtime (min),Total Parts Produced,Defective Parts,Ideal Cycle Time (min/unit),Error Code,Operator ID
2026-04-17,Assembly_Line_1,Morning,480.0,0.0,300.0,2.0,1.55,DT-00,OP-088
2026-04-17,Assembly_Line_13,Morning,480.0,49.0,314.0,8.0,1.33,DT-03,OP-072
2026-04-17,Assembly_Line_7,Morning,480.0,91.0,286.0,2.0,1.25,DT-08,OP-114
2026-04-17,CNC_Milling_13,Night,480.0,20.0,249.0,14.0,1.77,DT-06,OP-094
2026-04-17,CNC_Milling_17,Night,480.0,0.0,231.0,5.0,1.91,DT-00,OP-089
2026-04-17,Press_Line_1,Morning,480.0,27.0,349.0,26.0,1.26,DT-06,OP-054
2026-04-17,Press_Line_20,Afternoon,480.0,0.0,471.0,9.0,1.0,DT-00,OP-042
2026-04-18,Assembly_Line_11,Night,480.0,163.0,224.0,1.0,1.39,DT-01,OP-020
2026-04-18,Assembly_Line_20,Morning,480.0,20.0,316.0,6.0,1.39,DT-02,OP-047
2026-04-18,Assembly_Line_4,Night,480.0,0.0,354.0,8.0,1.34,DT-00,OP-099
2026-04-18,Assembly_Line_6,Morning,480.0,30.0,327.0,4.0,1.32,DT-02,OP-067
2026-04-18,Assembly_Line_6,Night,480.0,0.0,335.0,1.0,1.32,DT-00,OP-038
2026-04-18,Assembly_Line_8,Night,480.0,0.0,332.0,3.0,1.34,DT-00,OP-107
2026-04-18,CNC_Milling_10,Night,480.0,27.0,233.0,2.0,1.8,DT-08,OP-034
2026-04-18,Press_Line_12,Afternoon,480.0,0.0,399.0,10.0,1.2,DT-00,OP-067
2026-04-18,Press_Line_15,Afternoon,480.0,108.0,288.0,6.0,1.26,DT-01,OP-036
2026-04-18,Press_Line_8,Morning,480.0,27.0,436.0,27.0,1.03,DT-06,OP-107
2026-04-18,Press_Line_8,Night,480.0,0.0,437.0,9.0,1.03,DT-00,OP-118
2026-04-19,Assembly_Line_16,Night,480.0,0.0,317.0,6.0,1.5,DT-00,OP-077
2026-04-19,Assembly_Line_17,Night,480.0,46.0,335.0,3.0,1.29,DT-02,OP-078
2026-04-19,CNC_Milling_10,Morning,480.0,10.0,225.0,3.0,1.8,DT-04,OP-082
2026-04-19,CNC_Milling_11,Night,480.0,0.0,246.0,1.0,1.9,DT-00,OP-023
2026-04-19,CNC_Milling_13,Night,480.0,32.0,235.0,1.0,1.77,DT-02,OP-020
2026-04-19,CNC_Milling_20,Morning,480.0,0.0,256.0,1.0,1.79,DT-00,OP-028
2026-04-19,CNC_Milling_3,Night,480.0,0.0,278.0,2.0,1.67,DT-00,OP-065
2026-04-19,CNC_Milling_5,Night,480.0,0.0,223.0,5.0,1.98,DT-00,OP-009
2026-04-19,Press_Line_10,Night,480.0,28.0,439.0,11.0,1.01,DT-02,OP-111
2026-04-19,Press_Line_12,Morning,480.0,0.0,372.0,5.0,1.2,DT-00,OP-002
2026-04-19,Press_Line_20,Afternoon,480.0,79.0,382.0,5.0,1.0,DT-02,OP-030
2026-04-19,Press_Line_3,Morning,480.0,14.0,397.0,22.0,1.11,DT-06,OP-021
2026-04-19,Press_Line_4,Night,480.0,0.0,420.0,2.0,1.09,DT-00,OP-033
2026-04-20,Assembly_Line_18,Afternoon,480.0,0.0,307.0,5.0,1.56,DT-00,OP-099
