Date,Machine ID,Shift,Planned Time (min),Downtime (min),Total Parts Produced,Defective Parts,Ideal Cycle Time (min/unit),Error Code,Operator ID,Availability,Performance,Quality,OEE
07-07-2026,Assembly_Line_5,Night,480,0,366,9,1.24,DT-00,OP-008,100.0,94.55,97.54,92.22
16-05-2026,Assembly_Line_13,Morning,480,7,298,2,1.33,DT-04,OP-073,98.54,83.79,99.33,82.02
27-05-2026,Press_Line_14,Night,480,0,440,9,1.08,DT-00,OP-019,100.0,99.0,97.95,96.98
20-05-2026,Press_Line_9,Morning,480,44,350,6,1.17,DT-03,OP-115,90.83,93.92,98.29,83.85
30-06-2026,CNC_Milling_6,Afternoon,480,0,287,5,1.67,DT-00,OP-012,100.0,99.85,98.26,98.11
23-04-2026,Assembly_Line_16,Morning,480,0,298,6,1.5,DT-00,OP-077,100.0,93.12,97.99,91.25
25-04-2026,CNC_Milling_5,Afternoon,480,149,160,5,1.98,DT-01,OP-111,68.96,95.71,96.88,63.94
18-04-2026,Assembly_Line_4,Night,480,0,354,8,1.34,DT-00,OP-099,100.0,98.82,97.74,96.59
08-07-2026,CNC_Milling_2,Morning,480,0,241,1,1.85,DT-00,OP-093,100.0,92.89,99.59,92.5
20-05-2026,CNC_Milling_13,Morning,480,0,251,5,1.77,DT-00,OP-108,100.0,92.56,98.01,90.71
07-07-2026,CNC_Milling_13,Night,480,0,257,2,1.77,DT-00,OP-100,100.0,94.77,99.22,94.03
23-06-2026,Assembly_Line_19,Morning,480,155,233,7,1.28,DT-01,OP-113,67.71,91.77,97.0,60.27
26-05-2026,Press_Line_16,Morning,480,0,379,2,1.22,DT-00,OP-094,100.0,96.33,99.47,95.82
18-06-2026,Assembly_Line_13,Morning,480,9,329,37,1.33,DT-07,OP-071,98.12,92.9,88.75,80.91
08-05-2026,Press_Line_17,Night,480,13,360,10,1.09,DT-05,OP-097,97.29,84.03,97.22,79.48
14-07-2026,Press_Line_13,Night,480,0,475,10,1.01,DT-00,OP-057,100.0,99.95,97.89,97.84
22-06-2026,CNC_Milling_9,Morning,480,0,231,1,1.92,DT-00,OP-071,100.0,92.4,99.57,92.0
16-05-2026,CNC_Milling_18,Morning,480,0,258,1,1.81,DT-00,OP-009,100.0,97.29,99.61,96.91
21-04-2026,Assembly_Line_16,Afternoon,480,0,300,6,1.5,DT-00,OP-028,100.0,93.75,98.0,91.88
25-06-2026,Press_Line_9,Night,480,23,377,19,1.17,DT-06,OP-061,95.21,96.52,94.96,87.26
08-06-2026,Press_Line_13,Morning,480,0,453,6,1.01,DT-00,OP-060,100.0,95.32,98.68,94.06
23-04-2026,Assembly_Line_4,Night,480,27,312,7,1.34,DT-08,OP-103,94.38,92.29,97.76,85.15
30-04-2026,Press_Line_16,Morning,480,0,376,5,1.22,DT-00,OP-036,100.0,95.57,98.67,94.3
15-06-2026,Press_Line_16,Morning,480,0,389,7,1.22,DT-00,OP-007,100.0,98.87,98.2,97.09
09-07-2026,CNC_Milling_15,Morning,480,12,258,29,1.69,DT-07,OP-028,97.5,93.17,88.76,80.63
07-06-2026,Assembly_Line_18,Morning,480,0,283,4,1.56,DT-00,OP-119,100.0,91.98,98.59,90.68
14-06-2026,Press_Line_19,Afternoon,480,81,294,5,1.32,DT-02,OP-025,83.12,97.26,98.3,79.48
24-05-2026,Press_Line_14,Morning,480,168,267,3,1.08,DT-01,OP-007,65.0,92.42,98.88,59.4
30-06-2026,CNC_Milling_11,Night,480,16,156,5,1.9,DT-05,OP-011,96.67,63.88,96.79,59.77
10-05-2026,Press_Line_5,Night,480,0,367,5,1.29,DT-00,OP-114,100.0,98.63,98.64,97.29
28-06-2026,Press_Line_16,Night,480,188,221,5,1.22,DT-01,OP-073,60.83,92.34,97.74,54.9
22-06-2026,CNC_Milling_1,Afternoon,480,0,246,2,1.9,DT-00,OP-051,100.0,97.38,99.19,96.58
03-05-2026,Assembly_Line_3,Night,480,0,346,8,1.31,DT-00,OP-010,100.0,94.43,97.69,92.25
18-04-2026,CNC_Milling_10,Night,480,27,233,2,1.8,DT-08,OP-034,94.38,92.58,99.14,86.63
03-05-2026,Assembly_Line_20,Afternoon,480,7,235,2,1.39,DT-05,OP-107,98.54,69.06,99.15,67.47
25-06-2026,Assembly_Line_6,Afternoon,480,236,179,0,1.32,DT-01,OP-105,50.83,96.84,100.0,49.22
26-06-2026,Press_Line_20,Night,480,0,475,4,1.0,DT-00,OP-114,100.0,98.96,99.16,98.12
30-04-2026,Assembly_Line_8,Night,480,0,337,3,1.34,DT-00,OP-044,100.0,94.08,99.11,93.24
13-05-2026,Assembly_Line_4,Night,480,9,306,8,1.34,DT-04,OP-109,98.12,87.06,97.39,83.19
23-04-2026,Press_Line_6,Night,480,0,356,1,1.27,DT-00,OP-099,100.0,94.19,99.72,93.93
03-05-2026,Assembly_Line_1,Afternoon,480,0,295,6,1.55,DT-00,OP-072,100.0,95.26,97.97,93.32
18-04-2026,Press_Line_8,Morning,480,27,436,27,1.03,DT-06,OP-107,94.38,99.13,93.81,87.76
03-06-2026,CNC_Milling_18,Night,480,0,246,3,1.81,DT-00,OP-116,100.0,92.76,98.78,91.63
22-04-2026,Assembly_Line_18,Afternoon,480,0,289,1,1.56,DT-00,OP-100,100.0,93.92,99.65,93.6
27-06-2026,Assembly_Line_17,Afternoon,480,9,362,35,1.29,DT-07,OP-021,98.12,99.15,90.33,87.88
09-05-2026,Assembly_Line_17,Afternoon,480,0,364,4,1.29,DT-00,OP-120,100.0,97.82,98.9,96.75
08-06-2026,Assembly_Line_12,Night,480,13,300,2,1.3,DT-04,OP-090,97.29,83.51,99.33,80.71
30-04-2026,CNC_Milling_5,Morning,480,4,199,6,1.98,DT-04,OP-045,99.17,82.78,96.98,79.61
26-05-2026,Assembly_Line_13,Morning,480,0,351,5,1.33,DT-00,OP-036,100.0,97.26,98.58,95.87
25-04-2026,Assembly_Line_10,Afternoon,480,0,334,7,1.38,DT-00,OP-108,100.0,96.02,97.9,94.01
24-06-2026,CNC_Milling_2,Morning,480,0,258,2,1.85,DT-00,OP-034,100.0,99.44,99.22,98.67
21-04-2026,Press_Line_7,Night,480,0,345,4,1.36,DT-00,OP-078,100.0,97.75,98.84,96.62
21-06-2026,Press_Line_8,Afternoon,480,6,305,7,1.03,DT-05,OP-001,98.75,66.28,97.7,63.95
22-06-2026,Assembly_Line_20,Night,480,35,303,1,1.39,DT-02,OP-086,92.71,94.64,99.67,87.45
29-05-2026,CNC_Milling_20,Afternoon,480,25,248,3,1.79,DT-02,OP-040,94.79,97.56,98.79,91.36
11-07-2026,CNC_Milling_7,Afternoon,480,0,292,2,1.55,DT-00,OP-054,100.0,94.29,99.32,93.65
11-07-2026,CNC_Milling_5,Night,480,21,224,2,1.98,DT-03,OP-071,95.62,96.63,99.11,91.57
17-04-2026,Press_Line_20,Afternoon,480,0,471,9,1.0,DT-00,OP-042,100.0,98.12,98.09,96.25
15-06-2026,CNC_Milling_9,Afternoon,480,75,202,6,1.92,DT-02,OP-102,84.38,95.76,97.03,78.4
08-05-2026,Assembly_Line_3,Morning,480,0,356,7,1.31,DT-00,OP-012,100.0,97.16,98.03,95.25
17-05-2026,Assembly_Line_4,Afternoon,480,0,335,1,1.34,DT-00,OP-032,100.0,93.52,99.7,93.24
16-06-2026,CNC_Milling_20,Morning,480,0,265,5,1.79,DT-00,OP-092,100.0,98.82,98.11,96.96
15-07-2026,CNC_Milling_5,Afternoon,480,0,225,5,1.98,DT-00,OP-115,100.0,92.81,97.78,90.75
30-04-2026,Assembly_Line_10,Afternoon,480,0,342,7,1.38,DT-00,OP-060,100.0,98.32,97.95,96.31
23-04-2026,CNC_Milling_16,Morning,480,3,191,5,1.78,DT-05,OP-086,99.38,71.27,97.38,68.98
23-06-2026,CNC_Milling_16,Night,480,0,264,4,1.78,DT-00,OP-105,100.0,97.9,98.48,96.42
20-06-2026,CNC_Milling_8,Night,480,0,288,8,1.55,DT-00,OP-058,100.0,93.0,97.22,90.42
20-05-2026,Assembly_Line_9,Morning,480,5,285,5,1.52,DT-04,OP-081,98.96,91.2,98.25,88.67
17-05-2026,Press_Line_18,Afternoon,480,0,364,3,1.24,DT-00,OP-041,100.0,94.03,99.18,93.26
25-06-2026,Press_Line_6,Morning,480,0,359,2,1.27,DT-00,OP-028,100.0,94.99,99.44,94.46
25-04-2026,CNC_Milling_7,Afternoon,480,0,296,1,1.55,DT-00,OP-107,100.0,95.58,99.66,95.26
09-06-2026,CNC_Milling_5,Night,480,5,237,17,1.98,DT-06,OP-049,98.96,98.79,92.83,90.75
17-06-2026,Press_Line_1,Afternoon,480,0,362,10,1.26,DT-00,OP-107,100.0,95.02,97.24,92.4
09-06-2026,CNC_Milling_15,Night,480,48,253,4,1.69,DT-03,OP-035,90.0,98.97,98.42,87.67
11-06-2026,CNC_Milling_12,Morning,480,0,251,6,1.86,DT-00,OP-093,100.0,97.26,97.61,94.94
08-05-2026,Assembly_Line_14,Afternoon,480,19,202,6,1.67,DT-05,OP-076,96.04,73.18,97.03,68.19
28-06-2026,Assembly_Line_3,Morning,480,0,349,9,1.31,DT-00,OP-024,100.0,95.25,97.42,92.79
23-04-2026,Press_Line_17,Afternoon,480,0,421,5,1.09,DT-00,OP-113,100.0,95.6,98.81,94.47
04-06-2026,Press_Line_18,Afternoon,480,0,358,1,1.24,DT-00,OP-070,100.0,92.48,99.72,92.22
23-04-2026,CNC_Milling_3,Morning,480,15,272,8,1.67,DT-02,OP-026,96.88,97.69,97.06,91.85
19-04-2026,CNC_Milling_20,Morning,480,0,256,1,1.79,DT-00,OP-028,100.0,95.47,99.61,95.09
15-06-2026,Assembly_Line_5,Afternoon,480,20,359,10,1.24,DT-03,OP-092,95.83,96.77,97.21,90.16
01-05-2026,Assembly_Line_10,Morning,480,8,330,48,1.38,DT-07,OP-074,98.33,96.48,85.45,81.07
12-07-2026,Assembly_Line_19,Afternoon,480,0,366,2,1.28,DT-00,OP-089,100.0,97.6,99.45,97.07
06-07-2026,Press_Line_16,Morning,480,48,349,7,1.22,DT-02,OP-016,90.0,98.56,97.99,86.92
28-06-2026,Assembly_Line_11,Morning,480,0,329,4,1.39,DT-00,OP-065,100.0,95.27,98.78,94.11
08-07-2026,CNC_Milling_2,Morning,480,14,220,3,1.85,DT-04,OP-047,97.08,87.34,98.64,83.64
07-07-2026,Assembly_Line_18,Afternoon,480,65,248,4,1.56,DT-02,OP-084,86.46,93.22,98.39,79.3
21-05-2026,CNC_Milling_20,Night,480,39,235,5,1.79,DT-03,OP-035,91.88,95.39,97.87,85.77
28-05-2026,Assembly_Line_15,Morning,480,2,264,4,1.52,DT-04,OP-097,99.58,83.95,98.48,82.33
15-06-2026,CNC_Milling_17,Night,480,53,206,5,1.91,DT-02,OP-024,88.96,92.15,97.57,79.98
18-06-2026,Press_Line_14,Afternoon,480,31,391,7,1.08,DT-03,OP-113,93.54,94.05,98.21,86.4
22-05-2026,CNC_Milling_16,Morning,480,0,252,2,1.78,DT-00,OP-053,100.0,93.45,99.21,92.71
18-06-2026,CNC_Milling_16,Morning,480,72,219,1,1.78,DT-02,OP-038,85.0,95.54,99.54,80.84
15-05-2026,CNC_Milling_6,Night,480,0,279,3,1.67,DT-00,OP-071,100.0,97.07,98.92,96.02
23-06-2026,CNC_Milling_3,Afternoon,480,85,223,5,1.67,DT-08,OP-035,82.29,94.28,97.76,75.85
26-05-2026,Press_Line_17,Morning,480,0,411,2,1.09,DT-00,OP-069,100.0,93.33,99.51,92.88
14-07-2026,Press_Line_12,Morning,480,0,383,9,1.2,DT-00,OP-098,100.0,95.75,97.65,93.5
23-06-2026,CNC_Milling_19,Afternoon,480,39,215,3,1.93,DT-08,OP-039,91.88,94.09,98.6,85.24
18-04-2026,Assembly_Line_6,Night,480,0,335,1,1.32,DT-00,OP-038,100.0,92.13,99.7,91.85
15-07-2026,Press_Line_9,Night,480,8,328,1,1.17,DT-04,OP-037,98.33,81.31,99.7,79.71
16-06-2026,CNC_Milling_11,Afternoon,480,0,251,2,1.9,DT-00,OP-111,100.0,99.35,99.2,98.56
17-06-2026,Press_Line_8,Morning,480,0,431,8,1.03,DT-00,OP-007,100.0,92.49,98.14,90.77
06-05-2026,Press_Line_10,Night,480,7,468,21,1.01,DT-06,OP-098,98.54,99.93,95.51,94.06
09-06-2026,CNC_Milling_19,Night,480,24,232,3,1.93,DT-03,OP-117,95.0,98.19,98.71,92.08
12-06-2026,Press_Line_20,Night,480,54,411,2,1.0,DT-08,OP-095,88.75,96.48,99.51,85.21
29-04-2026,Assembly_Line_9,Morning,480,97,245,2,1.52,DT-01,OP-023,79.79,97.23,99.18,76.95
