Machine ID,Availability,Performance,Quality,OEE,Availability Loss,Performance Loss,Quality Loss,Dominant Loss,Description,Typical Downtime
Press_Line_11,51.46,97.97,99.1,49.96,48.54,2.03,0.9,Availability,Mechanical Breakdown,30-240
Press_Line_6,50.42,92.36,97.16,45.24,49.58,7.64,2.84,Availability,Mechanical Breakdown,30-240
Press_Line_14,52.08,99.79,98.27,51.08,47.92,0.21,1.73,Availability,Mechanical Breakdown,30-240
Press_Line_12,50.83,97.87,98.99,49.25,49.17,2.13,1.01,Availability,Mechanical Breakdown,30-240
Assembly_Line_5,51.88,96.11,96.89,48.31,48.12,3.89,3.11,Availability,Mechanical Breakdown,30-240
Assembly_Line_6,50.83,96.84,100.0,49.22,49.17,3.16,0.0,Availability,Mechanical Breakdown,30-240
Assembly_Line_11,52.29,93.04,97.62,47.49,47.71,6.96,2.38,Availability,Mechanical Breakdown,30-240
Assembly_Line_9,51.25,94.54,97.39,47.18,48.75,5.46,2.61,Availability,Mechanical Breakdown,30-240
CNC_Milling_6,52.5,94.1,98.59,48.71,47.5,5.9,1.41,Availability,Mechanical Breakdown,30-240
CNC_Milling_1,51.67,94.23,98.37,47.9,48.33,5.77,1.63,Availability,Mechanical Breakdown,30-240
Press_Line_4,60.83,92.2,97.17,54.5,39.17,7.8,2.83,Availability,Mechanical Breakdown,30-240
CNC_Milling_15,55.0,92.82,98.62,50.35,45.0,7.18,1.38,Availability,Mechanical Breakdown,30-240
Assembly_Line_10,57.29,98.86,97.97,55.49,42.71,1.14,2.03,Availability,Mechanical Breakdown,30-240
Press_Line_11,61.67,94.64,97.28,56.77,38.33,5.36,2.72,Availability,Mechanical Breakdown,30-240
Press_Line_16,60.83,92.34,97.74,54.9,39.17,7.66,2.26,Availability,Mechanical Breakdown,30-240
Assembly_Line_15,57.71,93.29,98.24,52.88,42.29,6.71,1.76,Availability,Mechanical Breakdown,30-240
Press_Line_20,63.75,96.41,97.63,60.0,36.25,3.59,2.37,Availability,Mechanical Breakdown,30-240
Press_Line_17,62.08,99.86,97.8,60.63,37.92,0.14,2.2,Availability,Mechanical Breakdown,30-240
