Machine ID,Date,Shift,OEE,Production Loss (units),Throughput Loss (units),Downtime Cost,Scrap Cost,Production Loss Cost,Estimated Business Loss,Primary Business Driver,Business Loss Breakdown,Priority Score,Priority,Top Loss Driver Rank
Press_Line_11,2026-06-18,Morning,49.96,218,5,93200.0,240.0,54591.74,148031.74,Downtime Cost,"Downtime (₹93,200.00) + Scrap (₹240.00) + Prod. Loss (₹54,591.74)",85,Critical,1
Press_Line_6,2026-07-08,Night,45.24,202,15,95200.0,600.0,50488.19,146288.19,Downtime Cost,"Downtime (₹95,200.00) + Scrap (₹600.00) + Prod. Loss (₹50,488.19)",86,Critical,2
Press_Line_14,2026-05-30,Night,51.08,213,0,92000.0,480.0,53361.11,145841.11,Downtime Cost,"Downtime (₹92,000.00) + Scrap (₹480.00) + Prod. Loss (₹53,361.11)",83,Critical,3
Press_Line_12,2026-05-09,Morning,49.25,201,4,94400.0,240.0,50250.0,144890.0,Downtime Cost,"Downtime (₹94,400.00) + Scrap (₹240.00) + Prod. Loss (₹50,250.00)",84,Critical,4
Assembly_Line_5,2026-07-10,Night,48.31,194,8,92400.0,720.0,48524.19,141644.19,Downtime Cost,"Downtime (₹92,400.00) + Scrap (₹720.00) + Prod. Loss (₹48,524.19)",83,Critical,5
Assembly_Line_6,2026-06-25,Afternoon,49.22,185,6,94400.0,0.0,46159.09,140559.09,Downtime Cost,"Downtime (₹94,400.00) + Scrap (₹0.00) + Prod. Loss (₹46,159.09)",83,Critical,6
Assembly_Line_11,2026-04-29,Night,47.49,177,13,91600.0,480.0,44330.94,136410.94,Downtime Cost,"Downtime (₹91,600.00) + Scrap (₹480.00) + Prod. Loss (₹44,330.94)",82,Critical,7
Assembly_Line_9,2026-04-24,Morning,47.18,163,9,93600.0,480.0,40697.37,134777.37,Downtime Cost,"Downtime (₹93,600.00) + Scrap (₹480.00) + Prod. Loss (₹40,697.37)",82,Critical,8
CNC_Milling_6,2026-05-13,Morning,48.71,145,9,91200.0,240.0,36356.29,127796.29,Downtime Cost,"Downtime (₹91,200.00) + Scrap (₹240.00) + Prod. Loss (₹36,356.29)",79,High,9
CNC_Milling_1,2026-04-30,Night,47.9,130,8,92800.0,240.0,32407.89,125447.89,Downtime Cost,"Downtime (₹92,800.00) + Scrap (₹240.00) + Prod. Loss (₹32,407.89)",79,High,10
Press_Line_4,2026-06-16,Night,54.5,193,21,75200.0,840.0,48341.74,124381.74,Downtime Cost,"Downtime (₹75,200.00) + Scrap (₹840.00) + Prod. Loss (₹48,341.74)",73,High,11
CNC_Milling_15,2026-07-15,Afternoon,50.35,139,11,86400.0,240.0,34755.92,121395.92,Downtime Cost,"Downtime (₹86,400.00) + Scrap (₹240.00) + Prod. Loss (₹34,755.92)",76,High,12
Press_Line_11,2026-05-06,Night,56.77,183,15,73600.0,840.0,45841.74,120281.74,Downtime Cost,"Downtime (₹73,600.00) + Scrap (₹840.00) + Prod. Loss (₹45,841.74)",71,High,13
Assembly_Line_10,2026-06-04,Afternoon,55.49,151,2,82000.0,480.0,37706.52,120186.52,Downtime Cost,"Downtime (₹82,000.00) + Scrap (₹480.00) + Prod. Loss (₹37,706.52)",73,High,14
Press_Line_16,2026-06-28,Night,54.9,172,18,75200.0,600.0,43110.66,118910.66,Downtime Cost,"Downtime (₹75,200.00) + Scrap (₹600.00) + Prod. Loss (₹43,110.66)",71,High,15
Assembly_Line_15,2026-05-14,Morning,52.88,146,12,81200.0,360.0,36447.37,118007.37,Downtime Cost,"Downtime (₹81,200.00) + Scrap (₹360.00) + Prod. Loss (₹36,447.37)",73,High,16
Press_Line_20,2026-07-10,Night,60.0,185,11,69600.0,840.0,46250.0,116690.0,Downtime Cost,"Downtime (₹69,600.00) + Scrap (₹840.00) + Prod. Loss (₹46,250.00)",68,High,17
Press_Line_17,2026-07-07,Night,60.63,167,0,72800.0,720.0,41841.74,115361.74,Downtime Cost,"Downtime (₹72,800.00) + Scrap (₹720.00) + Prod. Loss (₹41,841.74)",68,High,18
CNC_Milling_15,2026-05-16,Afternoon,54.22,125,3,82800.0,600.0,31255.92,114655.92,Downtime Cost,"Downtime (₹82,800.00) + Scrap (₹600.00) + Prod. Loss (₹31,255.92)",72,High,19
Assembly_Line_4,2026-07-10,Morning,58.07,148,6,76000.0,240.0,37052.24,113292.24,Downtime Cost,"Downtime (₹76,000.00) + Scrap (₹240.00) + Prod. Loss (₹37,052.24)",69,High,20
Press_Line_14,2026-05-24,Morning,59.4,177,22,67200.0,360.0,44361.11,111921.11,Downtime Cost,"Downtime (₹67,200.00) + Scrap (₹360.00) + Prod. Loss (₹44,361.11)",67,High,21
CNC_Milling_6,2026-05-28,Night,57.06,122,5,78400.0,120.0,30606.29,109126.29,Downtime Cost,"Downtime (₹78,400.00) + Scrap (₹120.00) + Prod. Loss (₹30,606.29)",69,High,22
Press_Line_14,2026-07-01,Morning,63.0,159,3,67600.0,600.0,39861.11,108061.11,Downtime Cost,"Downtime (₹67,600.00) + Scrap (₹600.00) + Prod. Loss (₹39,861.11)",65,High,23
Assembly_Line_12,2026-06-03,Morning,60.94,140,2,72000.0,480.0,35057.69,107537.69,Downtime Cost,"Downtime (₹72,000.00) + Scrap (₹480.00) + Prod. Loss (₹35,057.69)",66,High,24
Assembly_Line_1,2026-06-23,Afternoon,57.8,130,10,74400.0,120.0,32419.35,106939.35,Downtime Cost,"Downtime (₹74,400.00) + Scrap (₹120.00) + Prod. Loss (₹32,419.35)",67,High,25
CNC_Milling_10,2026-07-06,Night,54.37,118,12,76000.0,480.0,29416.67,105896.67,Downtime Cost,"Downtime (₹76,000.00) + Scrap (₹480.00) + Prod. Loss (₹29,416.67)",68,High,26
Press_Line_6,2026-04-25,Afternoon,60.33,148,13,68400.0,240.0,36988.19,105628.19,Downtime Cost,"Downtime (₹68,400.00) + Scrap (₹240.00) + Prod. Loss (₹36,988.19)",65,High,27
Assembly_Line_9,2026-05-01,Afternoon,59.22,125,7,71600.0,480.0,31197.37,103277.37,Downtime Cost,"Downtime (₹71,600.00) + Scrap (₹480.00) + Prod. Loss (₹31,197.37)",65,High,28
CNC_Milling_16,2026-05-18,Night,56.37,114,10,74000.0,480.0,28415.73,102895.73,Downtime Cost,"Downtime (₹74,000.00) + Scrap (₹480.00) + Prod. Loss (₹28,415.73)",66,High,29
Assembly_Line_12,2026-05-13,Morning,60.4,142,15,66400.0,480.0,35557.69,102437.69,Downtime Cost,"Downtime (₹66,400.00) + Scrap (₹480.00) + Prod. Loss (₹35,557.69)",64,High,30
Press_Line_18,2026-07-13,Afternoon,63.55,138,4,66400.0,360.0,34524.19,101284.19,Downtime Cost,"Downtime (₹66,400.00) + Scrap (₹360.00) + Prod. Loss (₹34,524.19)",62,High,31
CNC_Milling_14,2026-06-04,Night,58.04,99,4,76000.0,240.0,24801.51,101041.51,Downtime Cost,"Downtime (₹76,000.00) + Scrap (₹240.00) + Prod. Loss (₹24,801.51)",66,High,32
CNC_Milling_4,2026-07-08,Morning,59.25,123,14,68800.0,120.0,30699.37,99619.37,Downtime Cost,"Downtime (₹68,800.00) + Scrap (₹120.00) + Prod. Loss (₹30,699.37)",64,High,33
